mp-7, S
mp-2454, TiFe2
mp-2461, CaGa4
mp-2478, NbSi2
mp-2481, Mg2Cu
mp-2482, CaC2
mp-2486, UC2
mp-2489, UC
mp-2499, BaSi
mp-2507, GaS
mp-2511, PbF2
mp-2512, AsPd5
mp-2513, As2Pt
mp-2536, Ni2B
mp-2567, V3Si
mp-2572, SrMg2
mp-2582, TiSi2
mp-2584, TbFe3
mp-2588, YCo3
mp-2592, Si2Mo
mp-2596, NpN
mp-2597, InTe
mp-2598, Ta5Sb4
mp-2602, NdAs
mp-2611, BaGe2
mp-2613, LaCu5
mp-2620, DySi
mp-2630, SrC2
mp-2639, Na3N
mp-2648, NbS2
mp-2661, SrSi
mp-2662, MnP
mp-2666, CrSb2
mp-2680, LaB6
mp-2686, Ca2N
mp-2700, CaSi2
mp-2706, SnF4
mp-2715, CoAs2
mp-2723, IrO2
mp-2726, SrCu5
mp-2739, TeO2
mp-2760, Nb6C5
mp-2772, ZrAl2
mp-2793, AuSe
mp-2795, ZrC
mp-2826, Lu2S3
mp-2838, UNi5
mp-2849, US2
mp-2850, B2Os
mp-2873, Ce(CrB3)2
mp-2874, In2Si2O7
mp-2885, Ga(MoS2)4
mp-2903, UAl3Ni2
mp-2909, HoAlNi
mp-2910, KAlF4
mp-2914, LaSi3Ir
mp-2926, Pr2MgNi2
mp-2927, LiAg2Sn
mp-2939, BaTbO3
mp-2940, LuPO4
mp-2949, Ca(NiGe)2
mp-2958, Dy(BC)2
mp-2967, La(CoB)2
mp-2968, Sr(MnSb)2
mp-2971, U(CrC)4
mp-2990, TmAgSn
mp-2991, Cs2UO4
mp-2997, ThB2C
mp-2998, BaTiO3
mp-3020, BaNbO3
mp-3034, MgAl2Cu
mp-3062, Sm4S3N2
mp-3076, LaSnPt
mp-3077, SmAlGe
mp-3107, Ga3PO7
mp-3141, ErInRh
mp-3144, HoNbO4
mp-3155, Sc3FeC4
mp-3161, LiAlSi
mp-3173, CaAlSi
mp-3177, Nd(CuGe)2
mp-3182, Th3B2C3
mp-3194, Tb2Al3Si2
mp-3203, NdTaO4
mp-3204, YbSnPd
mp-3207, Sr(NiGe)2
mp-3211, Nd2SO2
mp-3228, HgSO4
mp-3239, Er(CoSi)2
mp-3248, TbAsO4
mp-3250, Ni2SbTe2
mp-3263, USO
mp-3274, NiGePd
